,f,Omega_lim,Omega_noise
41,1.2663427713682968e-05,4.080384533400558e-08,1.3165487884792559e-06
42,1.2736571156776364e-05,3.9417909581482656e-08,1.294014158159067e-06
43,1.2810137073420276e-05,3.807904826261615e-08,1.2718654378260013e-06
44,1.2884127903804683e-05,3.678566245602839e-08,1.250096017561505e-06
45,1.2958546102214112e-05,3.5700619088591193e-08,1.2286994006690871e-06
46,1.3033394137108828e-05,3.468721995254518e-08,1.2076692017349488e-06
47,1.310867449120693e-05,3.370258720305336e-08,1.1869991447217143e-06
48,1.3184389661566513e-05,3.274590427636946e-08,1.1666830610949247e-06
49,1.3260542159668585e-05,3.181637778775674e-08,1.1467148879815467e-06
50,1.3337134511500438e-05,3.091323687352701e-08,1.1270886663600362e-06
51,1.341416925763926e-05,3.0035732551759425e-08,1.107798539281463e-06
52,1.349164895333662e-05,2.9183137101161206e-08,1.0888387501210154e-06
53,1.3569576168603003e-05,2.835474345756526e-08,1.0702036408595523e-06
54,1.3647953488293283e-05,2.7549864627553715e-08,1.0518876503944951e-06
55,1.3726783512192265e-05,2.6767833118730962e-08,1.0338853128797456e-06
56,1.3806068855101006e-05,2.6008000386165997e-08,1.0161912560939789e-06
57,1.3885812146923631e-05,2.526973629454814e-08,9.988001998368839e-07
58,1.3966016032754375e-05,2.4552428595612758e-08,9.81706954352939e-07
59,1.4046683172965538e-05,2.385548242039684e-08,9.64906418782099e-07
60,1.412781624329551e-05,2.3178319785911434e-08,9.483935796371138e-07
61,1.4209417934937755e-05,2.252037911581378e-08,9.321635093068334e-07
62,1.429149095462987e-05,2.1881114774689348e-08,9.162113645852435e-07
63,1.437403802474346e-05,2.1259996615551322e-08,9.005323852256381e-07
64,1.4457061883374524e-05,2.0656509540184797e-08,8.851218925195561e-07
65,1.4540565284434076e-05,2.0070153071973322e-08,8.699752879001205e-07
66,1.4624550997739726e-05,1.9500440940847955e-08,8.550880515692145e-07
67,1.4709021809107347e-05,1.8946900680021127e-08,8.404557411482608e-07
68,1.4793980520443575e-05,1.840907323416545e-08,8.260739903520478e-07
69,1.4879429949838828e-05,1.788651257871512e-08,8.119385076852894e-07
70,1.4965372931660588e-05,1.7378785349975304e-08,7.980450751615473e-07
71,1.5051812316647641e-05,1.6885470485728912e-08,7.843895470440337e-07
72,1.5138750972004407e-05,1.6406158876047712e-08,7.709678486080539e-07
73,1.5226191781496282e-05,1.5940453024012806e-08,7.577759749245767e-07
74,1.5314137645545084e-05,1.548796671606853e-08,7.448099896647081e-07
75,1.540259148132535e-05,1.5048324701731884e-08,7.320660239246021e-07
76,1.5491556222861188e-05,1.462116238239401e-08,7.195402750704951e-07
77,1.5581034821123383e-05,1.4206125508956669e-08,7.072290056035725e-07
78,1.567103024412754e-05,1.3802869888049427e-08,6.951285420442135e-07
79,1.576154547703227e-05,1.341106109658859e-08,6.832352738354152e-07
80,1.585258352223847e-05,1.3030374204436307e-08,6.71545652264935e-07
81,1.594414739948868e-05,1.2660493504934477e-08,6.600561894059587e-07
82,1.6036240145967355e-05,1.2301112253086198e-08,6.487634570758687e-07
83,1.6128864816401697e-05,1.1951932411169382e-08,6.376640858128573e-07
84,1.6222024483162762e-05,1.16126644015726e-08,6.267547638701005e-07
85,1.6315722236367628e-05,1.1283026866645063e-08,6.160322362271075e-07
86,1.6409961183981625e-05,1.0962746435365482e-08,6.054933036180665e-07
87,1.6504744451921705e-05,1.0651557496632349e-08,5.951348215767715e-07
88,1.6600075184159883e-05,1.0349201978991328e-08,5.849536994979702e-07
89,1.6695956542827627e-05,1.0055429136614292e-08,5.74946899714745e-07
90,1.6792391708320857e-05,9.769995341353394e-09,5.651114365917083e-07
91,1.6889383879405186e-05,9.537184823210186e-09,5.554443756337588e-07
92,1.698693627332231e-05,9.31998463779208e-09,5.45942832610055e-07
93,1.7085052125896444e-05,9.107730977100178e-09,5.366039726930503e-07
94,1.7183734691641923e-05,8.900311188804776e-09,5.2742500961222e-07
95,1.728298724387093e-05,8.69761518612455e-09,5.184032048223355e-07
96,1.7382813074802162e-05,8.499535389398427e-09,5.095358666859531e-07
97,1.748321549567014e-05,8.305966668988156e-09,5.008203496699054e-07
98,1.7584197836834794e-05,8.116806289481855e-09,4.922540535555889e-07
99,1.7685763447892244e-05,7.931953855167287e-09,4.838344226627327e-07
100,1.77879156977856e-05,7.751311256747951e-09,4.7555894508650794e-07
101,1.7890657974916877e-05,7.574782619271909e-09,4.674251519476755e-07
102,1.799399368725946e-05,7.402274251246604e-09,4.594306166555814e-07
103,1.8097926262470902e-05,7.233694594913095e-09,4.5157295418380015e-07
104,1.8202459148006914e-05,7.068954177651874e-09,4.4384982035814917e-07
105,1.8307595811235428e-05,6.9079655644962405e-09,4.3625891115693846e-07
106,1.8413339739551895e-05,6.750643311726329e-09,4.287979620231675e-07
107,1.851969444049468e-05,6.596903921520781e-09,4.214647471885437e-07
108,1.862666344186168e-05,6.44666579764038e-09,4.1425707900903826e-07
109,1.8734250291827114e-05,6.299849202121716e-09,4.0717280731186565e-07
110,1.8842458559059302e-05,6.156376212956565e-09,4.0020981875361817e-07
111,1.8951291832839163e-05,6.0161706827351505e-09,3.933660361893996e-07
112,1.9060753723179e-05,5.879158198231708e-09,3.86639418052789e-07
113,1.9170847860942558e-05,5.745266040909703e-09,3.8002795774638764e-07
114,1.9281577897965186e-05,5.614423148327289e-09,3.735296830428436e-07
115,1.939294750717509e-05,5.486560076421183e-09,3.6714265549610904e-07
116,1.9504960382715264e-05,5.361608962649525e-09,3.6086496986278865e-07
117,1.961762024006578e-05,5.239503489974572e-09,3.546947535334167e-07
118,1.973093081616732e-05,5.120178851664984e-09,3.486301659734465e-07
119,1.9844895869544827e-05,5.003571716900368e-09,3.4266939817384713e-07
120,1.995951918043249e-05,4.889620197158536e-09,3.3681067211108055e-07
121,2.007480455089886e-05,4.778263813368811e-09,3.310522402163585e-07
122,2.0190755804973076e-05,4.669443463813015e-09,3.253923848539695e-07
123,2.0307376788771838e-05,4.5631013927574854e-09,3.198294178085432e-07
124,2.0424671370626698e-05,4.459181159799833e-09,3.1436167978111755e-07
125,2.0542643441212696e-05,4.357627609913251e-09,3.089875398938071e-07
126,2.0661296913677087e-05,4.2583868441736045e-09,3.0370539520298894e-07
127,2.078063572376947e-05,4.161406191152645e-09,2.98513670220796e-07
128,2.0900663829972054e-05,4.066634178963186e-09,2.934108164448349e-07
129,2.102138521363107e-05,3.974020507940631e-09,2.8839531189594153e-07
130,2.1142803879088985e-05,3.8835160239466296e-09,2.834656606638544e-07
131,2.1264923853816997e-05,3.795072692281052e-09,2.786203924606885e-07
132,2.1387749188549e-05,3.708643572187604e-09,2.7385806218203114e-07
133,2.151128395741558e-05,3.624182791940568e-09,2.6917724947558365e-07
134,2.1635532258079515e-05,3.541645524498409e-09,2.6457655831716546e-07
135,2.176049821187138e-05,3.460987963712318e-09,2.600546165940052e-07
136,2.1886185963926394e-05,3.382167301076272e-09,2.5561007569515407e-07
137,2.2012599683322035e-05,3.305141703006594e-09,2.5124161010891434e-07
138,2.2139743563216027e-05,3.229870288639242e-09,2.469479170271815e-07
139,2.2267621820985787e-05,3.1563131081323054e-09,2.4272771595653697e-07
140,2.2396238698367943e-05,3.0844311214631058e-09,2.3857974833603147e-07
141,2.2525598461599405e-05,3.0141861777077157e-09,2.345027771614875e-07
142,2.265570540155856e-05,2.945540994792781e-09,2.3049558661626182e-07
143,2.2786563833907736e-05,2.8784591397082057e-09,2.265569817083174e-07
144,2.2918178099236483e-05,2.812905009170489e-09,2.2268578791351287e-07
145,2.3050552563205235e-05,2.748843810726661e-09,2.188808508250144e-07
146,2.3183691616690494e-05,2.6862415442882216e-09,2.1514103580869547e-07
147,2.331759967593014e-05,2.6250649840859603e-09,2.1146522766445624e-07
148,2.345228118267007e-05,2.565281661035508e-09,2.0785233029333352e-07
149,2.358774060431166e-05,2.506859845504514e-09,2.0430126637031146e-07
150,2.3723982434059624e-05,2.449768530472485e-09,2.008109770227511e-07
151,2.3861011191071443e-05,2.3939774150738253e-09,1.9738042151430777e-07
152,2.3998831420606867e-05,2.339456888516011e-09,1.9400857693428404e-07
153,2.4137447694179078e-05,2.2861780143636793e-09,1.90694437892283e-07
154,2.4276864609705936e-05,2.2341125151809474e-09,1.8743701621811267e-07
155,2.4417086791662887e-05,2.1832327575231876e-09,1.842353406668099e-07
156,2.4558118891236006e-05,2.1335117372708713e-09,1.8108845662873736e-07
157,2.4699965586476436e-05,2.0849230652972484e-09,1.7799542584463222e-07
158,2.4842631582455694e-05,2.0374409534624257e-09,1.74955326125537e-07
159,2.4986121611421404e-05,1.9910402009265877e-09,1.7196725107753978e-07
160,2.5130440432954662e-05,1.9456961807746753e-09,1.6903030983121144e-07
161,2.5275592834127557e-05,1.9013848269459136e-09,1.6614362677569443e-07
162,2.542158362966211e-05,1.8580826214608503e-09,1.633063412973362e-07
163,2.5568417662090134e-05,1.815766581939283e-09,1.6051760752279902e-07
164,2.5716099801913504e-05,1.7744142494026128e-09,1.5777659406658106e-07
165,2.5864634947766126e-05,1.7340036763537563e-09,1.5508248378284603e-07
166,2.6014028026576e-05,1.6945134151287674e-09,1.5243447352152146e-07
167,2.6164283993729082e-05,1.6559225065134978e-09,1.498317738885574e-07
168,2.6315407833233264e-05,1.6182104686197335e-09,1.4727360901030782e-07
169,2.646740455788388e-05,1.5813572860145023e-09,1.4475921630193677e-07
170,2.6620279209430108e-05,1.545343399096978e-09,1.4228784623979368e-07
171,2.6774036858741866e-05,1.5101496937174267e-09,1.3985876213769504e-07
172,2.6928682605978422e-05,1.4757574910323874e-09,1.3747123992702538e-07
173,2.7084221580757127e-05,1.4421485375910953e-09,1.3512456794062033e-07
174,2.724065894232403e-05,1.409304995647467e-09,1.3281804670033502e-07
175,2.73979998797246e-05,1.3772094336929216e-09,1.305509887082672e-07
176,2.7556249611976015e-05,1.3458448172046704e-09,1.283227182415457e-07
177,2.771541338824047e-05,1.3151944996047163e-09,1.2613257115063567e-07
178,2.7875496487998863e-05,1.285242213424866e-09,1.239798946611058e-07
179,2.8036504221226397e-05,1.2559720616727799e-09,1.2186404717877977e-07
180,2.8198441928568244e-05,1.2273685093948273e-09,1.1978439809823793e-07
181,2.836131498151716e-05,1.1994163754309213e-09,1.1774032761458587e-07
182,2.8525128782591235e-05,1.1721008243572852e-09,1.1573122653846045e-07
183,2.8689888765513302e-05,1.1454073586126073e-09,1.1375649611419544e-07
184,2.8855600395391326e-05,1.1193218108035233e-09,1.118155478411028e-07
185,2.9022269168899274e-05,1.0938303361854256e-09,1.0990780329782259e-07
186,2.9189900614459916e-05,1.068919405314375e-09,1.0803269396967001e-07
187,2.935850029242773e-05,1.0445757968665034e-09,1.0618966107895274e-07
188,2.9528073795273815e-05,1.0207865906208076e-09,1.0437815541818198e-07
189,2.9698626747770974e-05,9.975391606018804e-10,1.0259763718615206e-07
190,2.987016480718047e-05,9.74821168378726e-10,1.008475758268202e-07
191,3.0042693663439857e-05,9.526205565161907e-10,9.912744987094712e-08
192,3.0216219039351297e-05,9.309255421756068e-10,9.743674678045571e-08
193,3.039074669077186e-05,9.097246108610629e-10,9.577496279544724e-08
194,3.056628240680404e-05,8.89006510308207e-10,9.414160278384627e-08
195,3.074283200998794e-05,8.687602445121562e-10,9.253618009361593e-08
196,3.092040135649462e-05,8.489750678914094e-10,9.095821640750417e-08
197,3.1098996336319864e-05,8.296404795847496e-10,8.940724160028407e-08
198,3.127862287348013e-05,8.10746217877916e-10,8.788279359843069e-08
199,3.145928692620846e-05,7.92282254757321e-10,8.638441824221107e-08
200,3.164099448715268e-05,7.742387905876878e-10,8.491166915012736e-08
201,3.182375158357365e-05,7.566062489110055e-10,8.346410758569033e-08
202,3.200756427754569e-05,7.393752713638334e-10,8.20413023264671e-08
203,3.2192438666157245e-05,7.225367127104494e-10,8.064282953537928e-08
204,3.237838088171326e-05,7.06081635989055e-10,7.926827263420095e-08
205,3.256539709193886e-05,6.900013077685185e-10,7.791722217922306e-08
206,3.2753493500183396e-05,6.742871935132006e-10,7.658927573905302e-08
207,3.29426763456268e-05,6.589309530532592e-10,7.52840377745001e-08
208,3.3132951903486055e-05,6.439244361581906e-10,7.400111952052508e-08
209,3.3324326485223535e-05,6.292596782111299e-10,7.274013887020768e-08
210,3.351680643875656e-05,6.149288959816639e-10,7.150072026070184e-08
211,3.371039814866751e-05,6.009244834949649e-10,7.028249456114828e-08
212,3.3905108036416105e-05,5.872390079949264e-10,6.908509896250085e-08
213,3.4100942560551895e-05,5.738652059993114e-10,6.790817686924692e-08
214,3.429790821692902e-05,5.607959794446668e-10,6.675137779297589e-08
215,3.449601153892112e-05,5.480243919191073e-10,6.561435724777722e-08
216,3.469525909763864e-05,5.355436649808191e-10,6.44967766474235e-08
217,3.4895657502146265e-05,5.233471745604757e-10,6.339830320432132e-08
218,3.5097213399682365e-05,5.114284474455411e-10,6.231860983018869e-08
219,3.5299933475879706e-05,4.997811578446387e-10,6.125737503843335e-08
220,3.550382445498672e-05,4.883991240302038e-10,6.02142828482082e-08
221,3.570889310009109e-05,4.772763050575403e-10,5.9189022690103446e-08
222,3.5915146213343635e-05,4.66406797558652e-10,5.8181289313460304e-08
223,3.612259063618408e-05,4.5578483260905515e-10,5.719078269526864e-08
224,3.633123324956828e-05,4.4540477266594457e-10,5.6217207950624874e-08
225,3.65410809741959e-05,4.3526110857613026e-10,5.526027524472735e-08
226,3.675214077074059e-05,4.2534845665205823e-10,5.4319699706374305e-08
227,3.696441964008032e-05,4.1566155581447604e-10,5.33952013429478e-08
228,3.717792462352989e-05,4.061952648001363e-10,5.248650495685143e-08
229,3.739266280307463e-05,3.9694455943309396e-10,5.1593340063378916e-08
230,3.760864130160485e-05,3.879045299581778e-10,5.071544080999289e-08
231,3.782586728315269e-05,3.790703784351414e-10,4.9852545896981554e-08
232,3.804434795312912e-05,3.7043741619221395e-10,4.900439849947956e-08
233,3.8264090558563617e-05,3.6200106133758833e-10,4.817074619081944e-08
234,3.848510238834386e-05,3.537568363276358e-10,4.7351340867201034e-08
235,3.870739077345816e-05,3.457003655904545e-10,4.654593867364651e-08
236,3.8930963087238115e-05,3.378273732035796e-10,4.575429993122784e-08
237,3.915582674560336e-05,3.301336806245563e-10,4.497618906553811e-08
238,3.938198920730781e-05,3.226152044731968e-10,4.421137453638815e-08
239,3.960945797418655e-05,3.1526795436436777e-10,4.3459628768709975e-08
240,3.9838240591405245e-05,3.080880307900989e-10,4.272072808463983e-08
241,4.0068344647709924e-05,3.010716230499597e-10,4.199445263676852e-08
242,4.029977777567888e-05,2.942150072285472e-10,4.1280586342532525e-08
243,4.053254765197611e-05,2.875145442190321e-10,4.057891681972897e-08
244,4.07666619976054e-05,2.809666777917425e-10,3.988923532313758e-08
245,4.100212857816705e-05,2.7456793270669817e-10,3.9211336682224656e-08
246,4.123895520411484e-05,2.683149128691665e-10,3.85450192399179e-08
247,4.1477149731015736e-05,2.6220429952718786e-10,3.789008479242622e-08
248,4.17167200598098e-05,2.5623284951018576e-10,3.72463385300941e-08
249,4.195767413707293e-05,2.5039739350765777e-10,3.6613588979265366e-08
250,4.22000199552799e-05,2.4469483438709674e-10,3.599164794514622e-08
251,4.2443765553069674e-05,2.3912214555020134e-10,3.538033045564469e-08
252,4.268891901551232e-05,2.336763693265214e-10,3.477945470617212e-08
253,4.29354884743766e-05,2.2835461540370635e-10,3.418884200539222e-08
254,4.318348210840039e-05,2.2315405929347357e-10,3.360831672189628e-08
255,4.343290814356137e-05,2.1807194083254277e-10,3.303770623179492e-08
256,4.368377485335012e-05,2.1310556271768998e-10,3.24768408672054e-08
257,4.393609055904483e-05,2.0825228907416504e-10,3.192555386562135e-08
258,4.4189863629986705e-05,2.0350954405672998e-10,3.138368132015179e-08
259,4.4445102483858285e-05,1.988748104825307e-10,3.085106213060949e-08
260,4.470181558696193e-05,1.943456284951315e-10,3.0327537955440135e-08
261,4.496001145450139e-05,1.8991959425894771e-10,2.981295316447214e-08
262,4.521969865086361e-05,1.8559435868343645e-10,2.930715479247827e-08
263,4.5480885789903075e-05,1.8136762617632614e-10,2.880999249353114e-08
264,4.574358153522784e-05,1.772371534252402e-10,2.8321318496140345e-08
265,4.600779460048622e-05,1.7320074820708394e-10,2.7840987559160022e-08
266,4.627353374965658e-05,1.6925626822452338e-10,2.736885692844883e-08
267,4.654080779733731e-05,1.6540161996898548e-10,2.6904786294275283e-08
268,4.680962560903992e-05,1.6163475760953028e-10,2.644863774944975e-08
269,4.707999610148248e-05,1.5795368190704806e-10,2.6000275748176258e-08
270,4.7351928242885654e-05,1.543564391531719e-10,2.5559567065607443e-08
271,4.7625431053270476e-05,1.508411201333542e-10,2.512638075809218e-08
272,4.790051360475687e-05,1.4740585911357242e-10,2.4700588124105946e-08
273,4.8177185021865325e-05,1.440488328500921e-10,2.4282062665847794e-08
274,4.8455454481818935e-05,1.407682596217995e-10,2.3870680051497585e-08
275,4.873533121484802e-05,1.375623982845609e-10,2.3466318078118178e-08
276,4.901682450449665e-05,1.3442954734711748e-10,2.3068856635193038e-08
277,4.9299943687929886e-05,1.3136804406803686e-10,2.2678177668789845e-08
278,4.9584698156244234e-05,1.283762635732151e-10,2.2294165146335904e-08
279,4.987109735477843e-05,1.2545261799349238e-10,2.1916705021998947e-08
280,5.015915078342748e-05,1.2259555562189403e-10,2.154568520265896e-08
281,5.044886799695699e-05,1.1980356009007852e-10,2.1180995514464808e-08
282,5.0740258605320947e-05,1.17075149563527e-10,2.0822527669961747e-08
283,5.1033332273979684e-05,1.1440887595507544e-10,2.0470175235783936e-08
284,5.1328098724220876e-05,1.1180332415634803e-10,2.0123833600898893e-08
285,5.162456773348225e-05,1.0925711128669478e-10,1.9783399945396118e-08
286,5.192274913567521e-05,1.0676888595924219e-10,1.9448773209811406e-08
287,5.222265282151184e-05,1.0433732756364572e-10,1.9119854064974837e-08
288,5.2524288738832276e-05,1.0196114556519041e-10,1.879654488237697e-08
289,5.282766689293496e-05,9.963907881984452e-11,1.8478749705041548e-08
290,5.3132797346908855e-05,9.73698949049128e-11,1.8166374218896976e-08
291,5.3439690221966477e-05,9.515238946494143e-11,1.7859325724639498e-08
292,5.374835569778051e-05,9.298538557250718e-11,1.755751311007637e-08
293,5.405880401282055e-05,9.08677331035769e-11,1.726084682294483e-08
294,5.437104546469363e-05,8.879830812707989e-11,1.6969238844194677e-08
295,5.468509041048491e-05,8.677601230839434e-11,1.6682602661730282e-08
296,5.5000949267102066e-05,8.515280237026704e-11,1.6400853244600667e-08
297,5.531863251162011e-05,8.369416738830838e-11,1.612390701763321e-08
298,5.563815068162918e-05,8.226051826649072e-11,1.5851681836500923e-08
299,5.5959514375584475e-05,8.085142700657173e-11,1.5584096963216566e-08
300,5.628273425315696e-05,7.946647294175754e-11,1.5321073042047747e-08
301,5.66078210355879e-05,7.810524261111383e-11,1.5062532075842996e-08
302,5.693478550604366e-05,7.676732963613559e-11,1.4808397402764674e-08
303,5.726363850997374e-05,7.54523345994264e-11,1.4558593673419712e-08
304,5.7594390955470855e-05,7.415986492545586e-11,1.4313046828381811e-08
305,5.792705381363196e-05,7.288953476336444e-11,1.4071684076099785e-08
306,5.826163811892308e-05,7.16409648717685e-11,1.3834433871182746e-08
307,5.8598154969544416e-05,7.04137825055463e-11,1.3601225893058862e-08
308,5.893661552779937e-05,6.920762130455592e-11,1.337199102499805e-08
309,5.927703102046402e-05,6.802212118426604e-11,1.3146661333495466e-08
310,5.961941273915982e-05,6.685692822825579e-11,1.2925170048007122e-08
311,5.996377204072855e-05,6.571169458255625e-11,1.2707451541032677e-08
312,6.031012034760816e-05,6.458607835180572e-11,1.2493441308540188e-08
313,6.0658469148212616e-05,6.347974349717783e-11,1.2283075950724948e-08
314,6.100882999731202e-05,6.239235973606458e-11,1.2076293153099136e-08
315,6.136121451641682e-05,6.132360244347138e-11,1.1873031667904163e-08
316,6.17156343941625e-05,6.027315255510687e-11,1.1673231295842518e-08
317,6.20721013866976e-05,5.924069647212919e-11,1.1476832868121732e-08
318,6.24306273180741e-05,5.822592596752375e-11,1.1283778228806006e-08
319,6.279122408063868e-05,5.722853809408848e-11,1.1094010217470728e-08
320,6.315390363542825e-05,5.624823509398969e-11,1.0907472652153122e-08
321,6.351867801256583e-05,5.5284724309872774e-11,1.0724110312595879e-08
322,6.38855593116599e-05,5.433771809749181e-11,1.0543868923777189e-08
323,6.42545597022062e-05,5.34069337398359e-11,1.036669513972282e-08
324,6.462569142399045e-05,5.249209336272992e-11,1.019253652759618e-08
325,6.49989667874954e-05,5.1592923851875987e-11,1.0021341552059871e-08
326,6.537439817430813e-05,5.070915677132096e-11,9.853059559906137e-09
327,6.575199803753178e-05,4.984052828331591e-11,9.687640764949572e-09
328,6.613177890219758e-05,4.898677906955309e-11,9.525036233179549e-09
329,6.651375336568135e-05,4.81476542537469e-11,9.365197868166029e-09
330,6.689793409812047e-05,4.732290332554625e-11,9.208078396716204e-09
331,6.728433384283451e-05,4.651228006574653e-11,9.053631354776234e-09
332,6.76729654167483e-05,4.571554247278336e-11,8.90181107357448e-09
333,6.806384171081621e-05,4.493245269048774e-11,8.752572666002622e-09
334,6.845697569045078e-05,4.416277693707491e-11,8.60587201322922e-09
335,6.88523803959518e-05,4.34062854353537e-11,8.461665751543367e-09
336,6.925006894293933e-05,4.266275234412831e-11,8.319911259423167e-09
337,6.965005452278913e-05,4.193195569077576e-11,8.180566644825688e-09
338,7.005235040306923e-05,4.121367730498018e-11,8.043590732695139e-09
339,7.04569699279812e-05,4.050770275359898e-11,7.908943052684227e-09
340,7.086392651880154e-05,3.9813821276648434e-11,7.77658382708667e-09
341,7.127323367432816e-05,3.9131825724381706e-11,7.646473958975536e-09
342,7.168490497132681e-05,3.846151249544912e-11,7.518575020545606e-09
343,7.209895406498272e-05,3.7802681476113326e-11,7.392849241654589e-09
344,7.251539468935248e-05,3.71551359805096e-11,7.269259498561331e-09
345,7.293424065781998e-05,3.651868269192699e-11,7.147769302856437e-09
346,7.335550586355516e-05,3.5893131605095197e-11,7.028342790582515e-09
347,7.377920427997371e-05,3.5278295969462604e-11,6.9109447115411634e-09
348,7.420534996120181e-05,3.4673992233442336e-11,6.795540418782517e-09
349,7.463395704254126e-05,3.4080039989616664e-11,6.682095858275402e-09
350,7.506503974093876e-05,3.349626192087815e-11,6.570577558754021e-09
351,7.549861235545798e-05,3.292248374749297e-11,6.460952621738541e-09
352,7.593468926775283e-05,3.235853417507339e-11,6.353188711727004e-09
353,7.637328494254563e-05,3.180424484343833e-11,6.247254046554632e-09
354,7.68144139281059e-05,3.1259450276352935e-11,6.143117387918872e-09
355,7.725809085673338e-05,3.072398783212702e-11,6.040748032066275e-09
356,7.770433044524385e-05,3.019769765505985e-11,5.9401158006389435e-09
357,7.815314749545617e-05,2.968042262771859e-11,5.841191031678133e-09
358,7.860455689468456e-05,2.9172008324031206e-11,5.74394457078132e-09
359,7.905857361623111e-05,2.8672302963186115e-11,5.648347762411412e-09
360,7.951521271988373e-05,2.8181157364318265e-11,5.5543724413541354e-09
361,7.997448935241442e-05,2.7698424901974607e-11,5.461990924322378e-09
362,8.043641874808295e-05,2.722396146233939e-11,5.371176001703732e-09
363,8.090101622914111e-05,2.6757625400211996e-11,5.2819009294499e-09
364,8.136829720634132e-05,2.629927749671999e-11,5.194139421104693e-09
365,8.183827717944845e-05,2.5848780917756567e-11,5.107865639968544e-09
366,8.231097173775265e-05,2.5406001173131546e-11,5.023054191397585e-09
367,8.278639656058789e-05,2.4970806076419703e-11,4.939680115234099e-09
368,8.326456741785082e-05,2.4543065705499277e-11,4.857718878367116e-09
369,8.374550017052435e-05,2.4122652363764816e-11,4.777146367420111e-09
370,8.42292107712043e-05,2.3709440542004495e-11,4.6979388815639495e-09
371,8.47157152646274e-05,2.3303306880931938e-11,4.6200731254531965e-09
372,8.520502978820473e-05,2.2904130134357663e-11,4.543526202283023e-09
373,8.569717057255578e-05,2.2511791132993674e-11,4.46827560696543e-09
374,8.619215394204809e-05,2.21261727488758e-11,4.394299219421922e-09
375,8.66899963153374e-05,2.17471598603977e-11,4.321575297991506e-09
376,8.719071420591362e-05,2.137463931794167e-11,4.250082472951153e-09
377,8.769432422264742e-05,2.100849991010011e-11,4.179799740147608e-09
378,8.820084307034158e-05,2.0648632330474377e-11,4.11070645473807e-09
379,8.871028755028572e-05,2.0294929145042292e-11,4.042782325037989e-09
380,8.922267456081227e-05,1.9947284760085947e-11,3.976007406474576e-09
381,8.97380210978585e-05,1.960559539066701e-11,3.91036209564343e-09
382,9.025634425552893e-05,1.926975902964386e-11,3.845827124467359e-09
383,9.0777661226663e-05,1.8939675417218244e-11,3.782383554454967e-09
